"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"4","2","GO Molecular Function","","alanine-tRNA ligase activity","0.0177","AARS1|AARSD1","85041","85226|85187","2.8E-4","","GO:0004813","0.17520267336381934","0"
"4","2","GO Molecular Function","","Structural constituent of postsynaptic actin cytoskeleton","0.0177","ACTG1|ACTB","85041","85202|85346","2.8E-4","","GO:0098973","0.17520267336381934","0"
"3","2","GO Biological Process","","Meiotic chromosome movement towards spindle pole","0.0189","ACTR3|ACTR2","85041","85223|85316","1.9E-4","","GO:0016344","0.1723538195826756","0"
"3","2","GO Biological Process","","Negative regulation of superoxide anion generation","0.0189","ACP5|AATF","85041","85301|85190","1.9E-4","","GO:0032929","0.1723538195826756","0"
"4","2","GO Cellular Component","","BMP receptor complex","0.0189","ACVRL1|ACVR1","85041","85322|85184","2.8E-4","","GO:0070724","0.1723538195826756","0"
"4","2","GO Cellular Component","","Postsynaptic actin cytoskeleton","0.0189","ACTG1|ACTB","85041","85202|85346","2.8E-4","","GO:0098871","0.1723538195826756","0"
"7","2","WikiPathways","","SARS-CoV-2 and ACE2 receptor: molecular mechanisms","0.0191","ACE|ACE2","85041","85298|85271","6.6E-4","","WP4883","0.17189666327522726","0"
"379","8","COMPARTMENTS","","Mitochondrial matrix","0.0195","ACADL|ACOT2|ACAT1|ACAD8|ACAA2|ABCE1|ACOT11|ACSS3","85041","85289|85310|85376|85157|85214|85268|85163|85247","2.8E-4","","GOCC:0005759","0.1709965388637482","0"
"1095","14","COMPARTMENTS","","Endoplasmic reticulum","0.0195","ABCD1|AADAC|ACSBG1|ABCB6|ACSL4|ABCD4|ACSL3|ABCA4|ABCA1|ACE2|ACSL1|ABCB9|ABCA8|ACSL6","85041","85151|85181|85367|85364|85385|85259|85319|85328|85334|85271|85355|85142|85313|85232","2.9E-4","","GOCC:0005783","0.1709965388637482","0"
"62","4","GO Biological Process","","Regulation of lipid catabolic process","0.0196","ABCD1|AADAC|ACACB|ABHD5","85041","85151|85181|85229|85283","2.0E-4","","GO:0050994","0.1707743928643524","0"
"3","2","Reactome Pathways","","Intracellular metabolism of fatty acids regulates insulin secretion","0.0201","ACSL4|ACSL3","85041","85385|85319","1.9E-4","","HSA-434313","0.16968039425795112","0"
"64","4","Reactome Pathways","","Regulation of actin dynamics for phagocytic cup formation","0.0203","ACTR3|ACTR2|ACTG1|ACTB","85041","85223|85316|85202|85346","2.2E-4","","HSA-2029482","0.1692503962086787","0"
"62","4","Reactome Pathways","","Peroxisomal protein import","0.0203","ACOT2|ACOX1|ACAA1|ACOX3","85041","85310|85220|85133|85349","2.0E-4","","HSA-9033241","0.1692503962086787","0"
"62","4","Reactome Pathways","","FCGR3A-mediated phagocytosis","0.0203","ACTR3|ACTR2|ACTG1|ACTB","85041","85223|85316|85202|85346","2.0E-4","","HSA-9664422","0.1692503962086787","0"
"209","6","GO Cellular Component","","Mitochondrial outer membrane","0.0209","ABCB6|ACSL4|ACACB|ACSL3|ACSL1|ACSL6","85041","85364|85385|85229|85319|85355|85232","3.5E-4","","GO:0005741","0.1679853713888946","0"
"2482","23","GO Cellular Component","","Cytoplasmic vesicle","0.0209","ACKR4|ABHD17A|ACTN4|ACSBG1|ABCB6|ABCB4|ABHD2|ABCA12|ACE|ABHD6|ABCA3|A2M|ACAA1|ABCG1|ACTN2|ACKR1|ABCA4|ABCA1|ACTR2|AAK1|ACE2|ACTG1|ACLY","85041","85139|85292|85160|85367|85364|85169|85250|85208|85298|85262|85241|85370|85133|85196|85373|85205|85328|85334|85316|85277|85271|85202|85253","3.3E-4","","GO:0031410","0.1679853713888946","0"
"2","2","InterPro Domains","","Peptidase M2, peptidyl-dipeptidase A","0.0211","ACE|ACE2","85041","85298|85271","1.1E-4","","IPR001548","0.16757175447023073","0"
"2","2","InterPro Domains","","N-acyl-L-amino-acid amidohydrolase","0.0211","ACY1|ABHD14A-ACY1","85041","85235|85136","1.1E-4","","IPR010159","0.16757175447023073","0"
"2","2","InterPro Domains","","Peroxisomal acyl-coenzyme A oxidase","0.0211","ACOX1|ACOX3","85041","85220|85349","1.1E-4","","IPR034171","0.16757175447023073","0"
"5","2","GO Cellular Component","","Dense body","0.0214","ACTG1|ACTB","85041","85202|85346","3.9E-4","","GO:0097433","0.16695862266508094","0"
"29","3","GO Molecular Function","","Chemokine binding","0.0224","ACKR4|A2M|ACKR1","85041","85139|85370|85205","3.6E-4","","GO:0019956","0.16497519816658374","0"
"2","2","TISSUES","","Plant cuticle","0.0225","ACSL1|ACSL6","85041","85355|85232","1.1E-4","","BTO:0000321","0.16478174818886376","0"
"2804","26","TISSUES","","Internal female genital organ","0.0225","ACP5|ACTA2|ACOT13|ACTR5|ACTN4|AARS1|ABLIM1|AASDHPPT|ACAD8|ACE|ACOX1|ABCE1|A2M|ACAA1|ACSL4|ACSL3|ACOT7|ACVRL1|ACTG2|ACTL6A|AAMP|ACVR1|ACTG1|ACLY|ACTB|ABCG2","85041","85301|85130|85286|85361|85160|85226|85265|85358|85157|85298|85220|85268|85370|85133|85385|85319|85178|85322|85256|85238|85172|85184|85202|85253|85346|85280","1.1E-4","","BTO:0003099","0.16478174818886376","0"
"2","2","TISSUES","","KB-V1 cell","0.0225","ABCB1|ABCG2","85041","85352|85280","1.1E-4","","BTO:0003917","0.16478174818886376","0"
"2","2","TISSUES","","MDCK-2 cell","0.0225","ABCB1|ABCG2","85041","85352|85280","1.1E-4","","BTO:0004607","0.16478174818886376","0"
"8","2","WikiPathways","","Non-classical role of vitamin D","0.0229","ACE|ACE2","85041","85298|85271","8.2E-4","","WP5133","0.1640164517660112","0"
"746","11","GO Cellular Component","","Lysosome","0.0231","ABCD1|ACP5|ABCB6|ACE|ABHD6|ABCA3|ABCD4|ABCC10|ACTR2|ABCB9|ACLY","85041","85151|85301|85364|85298|85262|85241|85259|85340|85316|85142|85253","4.3E-4","","GO:0005764","0.16363880201078557","0"
"4721","35","GO Cellular Component","","Endomembrane system","0.0232","ABCC6|ABCD1|AADAC|ACKR4|ABHD17A|ACTN4|ACSBG1|ABCB6|ABHD2|ABCA12|ABCA6|ACE|ABHD6|ABCA3|ACHE|ABCF1|A2M|ACAA1|ACSL4|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ABCA4|ABCA1|ACTR2|AAK1|ACE2|ACSL1|ABCB9|ACLY|ABCA8|AATF|ACSL6","85041","85193|85151|85181|85139|85292|85160|85367|85364|85250|85208|85325|85298|85262|85241|85154|85343|85370|85133|85385|85259|85319|85196|85373|85205|85328|85334|85316|85277|85271|85355|85142|85253|85313|85190|85232","4.5E-4","","GO:0012505","0.16345120151091003","0"
"752","11","GO Cellular Component","","Mitochondrial membrane","0.0232","ABCD1|ACADL|ABCB6|ABHD6|ABCB8|ACSL4|ACACB|ACSL3|ACSL1|ABCG2|ACSL6","85041","85151|85289|85364|85262|85274|85385|85229|85319|85355|85280|85232","4.6E-4","","GO:0031966","0.16345120151091003","0"
"4","2","Reactome Pathways","","Mitochondrial ABC transporters","0.0234","ABCB6|ABCB8","85041","85364|85274","2.8E-4","","HSA-1369007","0.1630784142589857","0"
"2936","26","GO Biological Process","","Cellular aromatic compound metabolic process","0.0238","ABCC6|ABCD1|ACOT2|ACTR5|ACSBG1|AARS1|ABCB6|ACAT1|ABT1|AASDHPPT|ACOT1|ACSM5|ACAA1|ACSL4|ACACB|ABCD4|ACSL3|ACOT11|ACOT7|ACTL6A|AARSD1|AASS|ACSL1|ABLIM3|ACLY|ACSL6","85041","85193|85151|85310|85361|85367|85226|85364|85376|85148|85358|85337|85295|85133|85385|85229|85259|85319|85163|85178|85238|85187|85217|85355|85331|85253|85232","2.4E-4","","GO:0006725","0.1623423042943488","0"
"25","3","GO Biological Process","","Regulation of activin receptor signaling pathway","0.0238","ACVR2B|ACVR1|ACVR1B","85041","85175|85184|85211","2.4E-4","","GO:0032925","0.1623423042943488","0"
"5","2","GO Molecular Function","","Transforming growth factor beta receptor activity, type I","0.0238","ACVRL1|ACVR1","85041","85322|85184","3.9E-4","","GO:0005025","0.1623423042943488","0"
"27","3","Reactome Pathways","","Paracetamol ADME","0.0241","ABCC3|ACY1|ABCG2","85041","85307|85235|85280","3.0E-4","","HSA-9753281","0.16179829574251317","0"
"372","8","GO Biological Process","","Multicellular organismal homeostasis","0.0243","ACP5|ACADL|ABCA12|ABCA3|ACACB|ABCA4|ACTG1|ACTB","85041","85301|85289|85208|85241|85229|85328|85202|85346","2.5E-4","","GO:0048871","0.16143937264016878","0"
"502","9","COMPARTMENTS","","Endoplasmic reticulum subcompartment","0.0247","ABCD1|AADAC|ABCB6|ACSL4|ABCD4|ACSL3|ABCA1|ACSL1|ABCB9","85041","85151|85181|85364|85385|85259|85319|85334|85355|85142","3.8E-4","","GOCC:0098827","0.16073030467403343","0"
"5","2","COMPARTMENTS","","Efflux pump complex","0.0247","ABCB1|ABCG2","85041","85352|85280","3.9E-4","","GOCC:1990281","0.16073030467403343","0"
"41","3","WikiPathways","","Common pathways underlying drug addiction","0.0249","ACTG2|ACTG1|ACTB","85041","85256|85202|85346","9.2E-4","","WP2636","0.16038006529042637","0"
"59","4","STRING Clusters","","Mixed, incl. RHO GTPases Activate WASPs and WAVEs, and ADF-H/Gelsolin-like domain superfamily","0.0257","ACTR3|ACTR2|ACTG1|ACTB","85041","85223|85316|85202|85346","1.6E-4","","CL:17814","0.15900668766687054","0"
"141","5","GO Molecular Function","","Cytokine binding","0.0268","ACKR4|A2M|ACKR1|ACVRL1|ACVR1","85041","85139|85370|85205|85322|85184","4.4E-4","","GO:0019955","0.15718652059712113","0"
"4","2","GO Biological Process","","alanyl-tRNA aminoacylation","0.027","AARS1|AARSD1","85041","85226|85187","2.8E-4","","GO:0006419","0.15686362358410127","0"
"4","2","GO Biological Process","","Long-chain fatty acid import into peroxisome","0.027","ABCD1|ABCD4","85041","85151|85259","2.8E-4","","GO:0015910","0.15686362358410127","0"
"4","2","GO Biological Process","","Regulation of transepithelial transport","0.027","ACTG1|ACTB","85041","85202|85346","2.8E-4","","GO:0150111","0.15686362358410127","0"
"61","4","STRING Clusters","","Regulation of pathway-restricted SMAD protein phosphorylation, and Signaling by BMP","0.0272","ACVR2B|ACVRL1|ACVR1|ACVR1B","85041","85175|85322|85184|85211","1.8E-4","","CL:21274","0.15654310959658013","0"
"422","8","GO Cellular Component","","Cell leading edge","0.0275","ACTA2|ACTR3|ABLIM1|ACTR2|AAK1|ACTG2|ABLIM3|ACTB","85041","85130|85223|85265|85316|85277|85256|85331|85346","5.6E-4","","GO:0031252","0.15606673061697374","0"
"32","3","GO Molecular Function","","Vitamin transmembrane transporter activity","0.0282","ABCD4|ABCA4|ABCG2","85041","85259|85328|85280","4.7E-4","","GO:0090482","0.15497508916806388","0"
"2","2","Pfam","","Angiotensin-converting enzyme","0.0288","ACE|ACE2","85041","85298|85271","1.1E-4","","PF01401","0.15406075122407692","0"
"18","3","Pfam","","AMP-binding enzyme C-terminal domain","0.0288","ACSM5|ACSL1|ACSS3","85041","85295|85355|85247","9.97E-5","","PF13193","0.15406075122407692","0"
"6111","43","TISSUES","","Female reproductive system","0.0292","ACP5|ABCF2|ACTA2|ACOT13|ACOT2|ACTR5|ACTN4|ACSBG1|AARS1|ACTR3|ABHD2|ABLIM1|AASDHPPT|ACAD8|ACE|ACOX1|ABCE1|ABCB8|ABCF1|A2M|AACS|ACAA1|ACSL4|ACOX3|ACSL3|ACTR1A|ACOT7|ACVRL1|ACTG2|ACE2|ACTL6A|AAMP|ACVR1|ACSL1|ACVR1B|ACTG1|ACP6|ACLY|ABCA8|AATF|ACTB|ABCG2|ACSL6","85041","85301|85379|85130|85286|85310|85361|85160|85367|85226|85223|85250|85265|85358|85157|85298|85220|85268|85274|85343|85370|85304|85133|85385|85349|85319|85382|85178|85322|85256|85271|85238|85172|85184|85355|85211|85202|85199|85253|85313|85190|85346|85280|85232","1.9E-4","","BTO:0000083","0.15346171485515817","0"
"9523","57","GO Cellular Component","","Membrane","0.0293","ABCC6|ABCD1|ACP5|ABCF2|AADAC|ACADL|ACKR4|ABHD17A|ACTN4|ACSBG1|ABCC9|AARS1|ACTR3|ABCB6|ABCB4|ABHD2|ACP1|ABCA12|ABCA6|ABCC3|ACE|ACOX1|ABHD6|ABCE1|ABCB8|ABCA3|ACHE|ABCF1|ACAA1|ACSL4|ACVR2B|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACKR1|ABCA4|ABCC10|ABCA1|ACTR2|ACVRL1|AAK1|ACE2|ACTL6A|AAMP|ACVR1|ACSL1|ABCB9|ACVR1B|ACTG1|ACLY|ABCA8|ABCB1|ACTB|ABCG2|ACSL6","85041","85193|85151|85301|85379|85181|85289|85139|85292|85160|85367|85166|85226|85223|85364|85169|85250|85145|85208|85325|85307|85298|85220|85262|85268|85274|85241|85154|85343|85133|85385|85175|85229|85349|85259|85319|85196|85205|85328|85340|85334|85316|85322|85277|85271|85238|85172|85184|85355|85142|85211|85202|85253|85313|85352|85346|85280|85232","6.1E-4","","GO:0016020","0.15331323796458904","0"
"7","2","GO Cellular Component","","External side of apical plasma membrane","0.0304","ABCB1|ABCG2","85041","85352|85280","6.6E-4","","GO:0098591","0.15171264163912462","0"
"5","2","Reactome Pathways","","Abacavir transmembrane transport","0.0304","ABCB1|ABCG2","85041","85352|85280","3.9E-4","","HSA-2161517","0.15171264163912462","0"
"6","2","GO Molecular Function","","Long-chain fatty acyl-CoA binding","0.0305","ACOT11|ACOT7","85041","85163|85178","5.1E-4","","GO:0036042","0.15157001606532142","0"
"28","3","GO Biological Process","","Positive regulation of lipid catabolic process","0.031","ABCD1|AADAC|ABHD5","85041","85151|85181|85283","3.3E-4","","GO:0050996","0.15086383061657274","0"
"10","2","WikiPathways","","SARS-CoV-2 and COVID-19 pathway","0.0312","ACAT1|ACE2","85041","85376|85271","0.0012","","WP4846","0.1505845405981557","0"
"6","2","COMPARTMENTS","","acetyl-CoA carboxylase complex","0.032","ACACB|ACLY","85041","85229|85253","5.1E-4","","GOCC:0009317","0.1494850021680094","0"
"6","2","COMPARTMENTS","","Discoidal high-density lipoprotein particle","0.032","ABCG1|ABCA1","85041","85196|85334","5.1E-4","","GOCC:0034365","0.1494850021680094","0"
"6","2","COMPARTMENTS","","External side of apical plasma membrane","0.032","ABCB1|ABCG2","85041","85352|85280","5.1E-4","","GOCC:0098591","0.1494850021680094","0"
"3","2","InterPro Domains","","ABC-transporter extension domain","0.0324","ABCF2|ABCF1","85041","85379|85343","1.9E-4","","IPR032781","0.1489454989793388","0"
"3","2","InterPro Domains","","Cytosolic acyl coenzyme A thioester hydrolase","0.0324","ACOT11|ACOT7","85041","85163|85178","1.9E-4","","IPR040170","0.1489454989793388","0"
"3","2","InterPro Domains","","Long-chain fatty acid CoA synthetase, eukaryotic","0.0324","ACSL1|ACSL6","85041","85355|85232","1.9E-4","","IPR045311","0.1489454989793388","0"
"193","6","TISSUES","","Interstitial cell of Cajal","0.033","ACTR3|ACP1|AASDHPPT|ACTR1A|ACTG1|ACTB","85041","85223|85145|85358|85382|85202|85346","2.3E-4","","BTO:0003914","0.14814860601221125","0"
"152","5","COMPARTMENTS","","Mitochondrial outer membrane","0.0353","ABCB6|ACSL4|ACACB|ACSL3|ACSL1","85041","85364|85385|85229|85319|85355","6.1E-4","","GOCC:0005741","0.14522252946121775","0"
"538","9","COMPARTMENTS","","Endoplasmic reticulum membrane","0.0353","ABCD1|AADAC|ABCB6|ACSL4|ABCD4|ACSL3|ABCA1|ACSL1|ABCB9","85041","85151|85181|85364|85385|85259|85319|85334|85355|85142","6.1E-4","","GOCC:0005789","0.14522252946121775","0"
"5825","41","TISSUES","","Central nervous system","0.0357","ACTA2|ACOT13|ACOT2|ABHD17A|ACSBG1|ACTR3|ABLIM1|AASDHPPT|ACAD8|ACE|ACOX1|ABHD6|ABCB8|ABCA3|ACHE|A2M|AACS|ACSM5|ACSL3|ABCG1|ACTN2|ACTR1A|ACOT7|ACTR2|AAK1|ACE2|ACTL6A|AAMP|AASS|ACSL1|ABLIM3|ABCB9|ACVR1B|ACTG1|ACP6|ACLY|ABCB1|ACTB|ABHD5|ABCG2|ACSL6","85041","85130|85286|85310|85292|85367|85223|85265|85358|85157|85298|85220|85262|85274|85241|85154|85370|85304|85295|85319|85196|85373|85382|85178|85316|85277|85271|85238|85172|85217|85355|85331|85142|85211|85202|85199|85253|85352|85346|85283|85280|85232","3.2E-4","","BTO:0000227","0.1447331783887807","0"
"954","13","TISSUES","","Connective tissue","0.0357","ACP5|ACTR3|ACAT1|ACP1|AASDHPPT|ACAD8|ACAA2|ACE|ACACB|ACTR1A|ACE2|ACTG1|ACTB","85041","85301|85223|85376|85145|85358|85157|85214|85298|85229|85382|85271|85202|85346","2.7E-4","","BTO:0000421","0.1447331783887807","0"
"4","2","TISSUES","","Cholangiocyte","0.0357","ABCB4|ACE2","85041","85169|85271","2.8E-4","","BTO:0003164","0.1447331783887807","0"
"4","2","TISSUES","","KB-3-1 cell","0.0357","ABCB1|ABCG2","85041","85352|85280","2.8E-4","","BTO:0003918","0.1447331783887807","0"
"5","2","GO Biological Process","","Long-chain fatty acid catabolic process","0.0365","ABCD1|ACADL","85041","85151|85289","3.9E-4","","GO:0042758","0.14377071355435253","0"
"5","2","GO Biological Process","","Terpenoid transport","0.0365","ABCA4|ABCB1","85041","85328|85352","3.9E-4","","GO:0046865","0.14377071355435253","0"
"5","2","GO Biological Process","","Mesenchyme migration","0.0365","ACTA2|ACTG2","85041","85130|85256","3.9E-4","","GO:0090131","0.14377071355435253","0"
"36","3","GO Molecular Function","","Amide transmembrane transporter activity","0.0376","ABCD1|ABCB9|ABCG2","85041","85151|85142|85280","6.5E-4","","GO:0042887","0.1424812155072339","0"
"7","2","GO Molecular Function","","Aminoacylase activity","0.0378","ACY1|ABHD14A-ACY1","85041","85235|85136","6.6E-4","","GO:0004046","0.14225082001627748","0"
"145","5","Reactome Pathways","","Clathrin-mediated endocytosis","0.0379","ACTR3|ACTR2|AAK1|ACTG1|ACTB","85041","85223|85316|85277|85202|85346","5.0E-4","","HSA-8856828","0.14213607900319275","0"
"438","8","COMPARTMENTS","","Cell surface","0.0392","ACE|ABCG1|ACVRL1|ACE2|AAMP|ACVR1B|ABCB1|ABCG2","85041","85298|85196|85322|85271|85172|85211|85352|85280","7.2E-4","","GOCC:0009986","0.14067139329795428","0"
"241","6","COMPARTMENTS","","Secretory granule lumen","0.0392","ACTN4|A2M|ACAA1|ACTN2|ACTR2|ACLY","85041","85160|85370|85133|85373|85316|85253","7.3E-4","","GOCC:0034774","0.14067139329795428","0"
"5","2","TISSUES","","Macrophage foam cell","0.0408","ABCG1|ABCA1","85041","85196|85334","3.9E-4","","BTO:0005054","0.138933983691012","0"
"89","4","GO Molecular Function","","Flavin adenine dinucleotide binding","0.041","ACADL|ACAD8|ACOX1|ACOX3","85041","85289|85157|85220|85349","7.2E-4","","GO:0050660","0.13872161432802646","0"
"27","3","STRING Clusters","","ATPase dependent transmembrane transport complex, and Ion-transport regulator, FXYD motif","0.0412","ABCC9|ABCB6|ABCB8","85041","85166|85364|85274","3.0E-4","","CL:12816","0.13851027839668656","0"
"69","4","STRING Clusters","","Mixed, incl. Fatty acid metabolism, and Regulation of lipid storage","0.0412","ACACB|ABCG1|ABCA1|ABHD5","85041","85229|85196|85334|85283","2.9E-4","","CL:9985","0.13851027839668656","0"
"39","3","COMPARTMENTS","","Stress fiber","0.0414","ACTN4|ABLIM1|ABLIM3","85041","85160|85265|85331","8.1E-4","","GOCC:0001725","0.1382999658879101","0"
"8","2","COMPARTMENTS","","Activin A complex","0.0414","ACVR2B|ACVR1B","85041","85175|85211","8.2E-4","","GOCC:0043509","0.1382999658879101","0"
"682","10","COMPARTMENTS","","Plasma membrane protein complex","0.0414","ABCC9|ABCB6|ABCB8|ACVR2B|ABCD4|ABCA1|ACVRL1|ACVR1|ACVR1B|ABCB1","85041","85166|85364|85274|85175|85259|85334|85322|85184|85211|85352","8.3E-4","","GOCC:0098797","0.1382999658879101","0"
"124","4","KEGG Pathways","","Yersinia infection","0.0417","ACTR3|ACTR2|ACTG1|ACTB","85041","85223|85316|85202|85346","0.0024","","hsa05135","0.13798639450262423","0"
"3","2","Pfam","","BAAT / Acyl-CoA thioester hydrolase C terminal","0.0428","ACOT2|ACOT1","85041","85310|85337","1.9E-4","","PF08840","0.1368556230986828","0"
"12149","67","GO Cellular Component","","Intracellular membrane-bounded organelle","0.0431","ABCC6|ABCD1|ACP5|ABHD11|ACOT13|AADAC|ACADL|ACOT2|ACTR5|ACKR4|ABHD17A|ACTN4|ACSBG1|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ABHD2|ABCA12|ABT1|ACAD8|ABCA6|ACAA2|ACE|ACOX1|ABHD6|ABCE1|ABCB8|ABCA3|ACHE|ABCF1|A2M|ACSM5|ACAA1|ACSL4|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|AAK1|ACE2|ACTL6A|AARSD1|AASS|ACSL1|ABCB9|ACSS3|ACTG1|ACP6|ACLY|ABCA8|AATF|ABCB1|ACTB|ABHD5|ABCG2|ACSL6","85041","85193|85151|85301|85244|85286|85181|85289|85310|85361|85139|85292|85160|85367|85226|85223|85364|85169|85376|85250|85208|85148|85157|85325|85214|85298|85220|85262|85268|85274|85241|85154|85343|85370|85295|85133|85385|85229|85349|85259|85319|85196|85373|85205|85328|85163|85340|85334|85178|85316|85277|85271|85238|85187|85217|85355|85142|85247|85202|85199|85253|85313|85190|85352|85346|85283|85280|85232","0.001","","GO:0043231","0.13655227298392686","0"
"2369","22","TISSUES","","Embryonic structure","0.0431","ACP5|ACTA2|ABHD17A|ACTN4|AARS1|ABCB6|ABLIM1|AASDHPPT|ACE|ACOX1|ABCF1|A2M|ACSL4|ACSL3|ACOT7|ACVRL1|ACTL6A|ACVR1|ACVR1B|ACTG1|ACTB|ABCG2","85041","85301|85130|85292|85160|85226|85364|85265|85358|85298|85220|85343|85370|85385|85319|85178|85322|85238|85184|85211|85202|85346|85280","4.4E-4","","BTO:0000174","0.13655227298392686","0"
"2891","25","GO Biological Process","","Heterocycle metabolic process","0.0441","ABCC6|ABCD1|ACOT2|ACTR5|ACSBG1|AARS1|ABCB6|ACAT1|ABT1|AASDHPPT|ACOT1|ACSM5|ACSL4|ACACB|ABCD4|ACSL3|ACOT11|ACOT7|ACTL6A|AARSD1|AASS|ACSL1|ABLIM3|ACLY|ACSL6","85041","85193|85151|85310|85361|85367|85226|85364|85376|85148|85358|85337|85295|85385|85229|85259|85319|85163|85178|85238|85187|85217|85355|85331|85253|85232","4.8E-4","","GO:0046483","0.13555614105321614","0"
"144","5","GO Biological Process","","Response to glucocorticoid","0.0443","ACSBG1|ACE|ABCA3|A2M|ACVR1","85041","85367|85298|85241|85370|85184","4.8E-4","","GO:0051384","0.13535962737769305","0"
"9","2","COMPARTMENTS","","Arp2/3 protein complex","0.0451","ACTR3|ACTR2","85041","85223|85316","0.001","","GOCC:0005885","0.13458234581220394","0"
"9","2","COMPARTMENTS","","BMP receptor complex","0.0451","ACVRL1|ACVR1","85041","85322|85184","0.001","","GOCC:0070724","0.13458234581220394","0"
"4","2","InterPro Domains","","ArgE/DapE/ACY1/CPG2/YscS, conserved site","0.0452","ACY1|ABHD14A-ACY1","85041","85235|85136","2.8E-4","","IPR001261","0.1344861565188618","0"
"4","2","InterPro Domains","","Acyl-CoA oxidase, C-terminal","0.0452","ACOX1|ACOX3","85041","85220|85349","2.8E-4","","IPR002655","0.1344861565188618","0"
"4","2","InterPro Domains","","Multi drug resistance-associated protein","0.0452","ABCC6|ABCC3","85041","85193|85307","2.8E-4","","IPR005292","0.1344861565188618","0"
"4","2","InterPro Domains","","Acyl-CoA oxidase","0.0452","ACOX1|ACOX3","85041","85220|85349","2.8E-4","","IPR012258","0.1344861565188618","0"
"4","2","InterPro Domains","","Alanyl-tRNA synthetase, class IIc, core domain","0.0452","AARS1|AARSD1","85041","85226|85187","2.8E-4","","IPR018165","0.1344861565188618","0"
"4","2","InterPro Domains","","Acetyl-coenzyme A synthetase, N-terminal domain","0.0452","AACS|ACSS3","85041","85304|85247","2.8E-4","","IPR032387","0.1344861565188618","0"
"4","2","InterPro Domains","","Putative adherens-junction anchoring domain","0.0452","ABLIM1|ABLIM3","85041","85265|85331","2.8E-4","","IPR032402","0.1344861565188618","0"
"4","2","InterPro Domains","","Hotdog acyl-CoA thioesterase (ACOT)-type domain","0.0452","ACOT11|ACOT7","85041","85163|85178","2.8E-4","","IPR033120","0.1344861565188618","0"
"4","2","InterPro Domains","","Bacterial exopeptidase dimerisation domain","0.0452","ACY1|ABHD14A-ACY1","85041","85235|85136","2.8E-4","","IPR036264","0.1344861565188618","0"
"246","6","GO Molecular Function","","Acyltransferase activity","0.0453","ACAT1|ACAA2|ACSM5|ACAA1|ACLY|ABHD5","85041","85376|85214|85295|85133|85253|85283","8.1E-4","","GO:0016746","0.1343901797987168","0"
"2144","20","GO Molecular Function","","Identical protein binding","0.0453","ABCD1|ACADL|ACTN4|ACAT1|ACOX1|ACHE|A2M|ACACB|ABCD4|ABCG1|ACTN2|ACOT7|ACY1|ACE2|ACVR1|ABCB9|ACTG1|ACTB|ABCG2|ACSL6","85041","85151|85289|85160|85376|85220|85154|85370|85229|85259|85196|85373|85178|85235|85271|85184|85142|85202|85346|85280|85232","8.2E-4","","GO:0042802","0.1343901797987168","0"
"5733","40","TISSUES","","Brain","0.0454","ACTA2|ACOT13|ACOT2|ABHD17A|ACSBG1|ACTR3|ABLIM1|AASDHPPT|ACAD8|ACE|ACOX1|ABHD6|ABCB8|ABCA3|ACHE|A2M|AACS|ACSM5|ACSL3|ABCG1|ACTN2|ACTR1A|ACOT7|ACTR2|AAK1|ACE2|ACTL6A|AAMP|ACSL1|ABLIM3|ABCB9|ACVR1B|ACTG1|ACP6|ACLY|ABCB1|ACTB|ABHD5|ABCG2|ACSL6","85041","85130|85286|85310|85292|85367|85223|85265|85358|85157|85298|85220|85262|85274|85241|85154|85370|85304|85295|85319|85196|85373|85382|85178|85316|85277|85271|85238|85172|85355|85331|85142|85211|85202|85199|85253|85352|85346|85283|85280|85232","4.9E-4","","BTO:0000142","0.1342944147142896","0"
"129","4","KEGG Pathways","","Fluid shear stress and atherosclerosis","0.0455","ACVR2B|ACVR1|ACTG1|ACTB","85041","85175|85184|85202|85346","0.0027","","hsa05418","0.13419886033428877","0"
"3247","26","GO Cellular Component","","Extracellular space","0.0461","ACTA2|ACTN4|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ACP1|AASDHPPT|ACE|ABCA3|ACHE|A2M|ACSL4|ACTN2|ACTR1A|ACOT11|ACOT7|ACTR2|ACY1|ACTG2|ACE2|ACTG1|ACLY|ABCB1|ACTB","85041","85130|85160|85226|85223|85364|85169|85376|85145|85358|85298|85241|85154|85370|85385|85373|85382|85163|85178|85316|85235|85256|85271|85202|85253|85352|85346","0.0011","","GO:0005615","0.13362990746103517","0"
"102","4","GO Cellular Component","","Cortical cytoskeleton","0.0461","ACTN4|ACTN2|ACTR2|ACTB","85041","85160|85373|85316|85346","0.0012","","GO:0030863","0.13362990746103517","0"
"589","9","GO Cellular Component","","Plasma membrane protein complex","0.0461","ABCC9|ABCB6|ABHD6|ABCB8|ACVR2B|ABCD4|ACVRL1|ACVR1|ACVR1B","85041","85166|85364|85262|85274|85175|85259|85322|85184|85211","0.0012","","GO:0098797","0.13362990746103517","0"
